program,name,import,rows,cols,nonZeros,size,chol,chol_size,sol_time,err
C++,parabolic_fem.mtx,4813,525825,525825,3674625,46198804,84478,435446512,1596,2.35914e-12
C++,G3_circuit.mtx,8699,1585478,1585478,7660826,98271828,934261,2039944908,6531,7.5445e-12
C++,cfd2.mtx,2818,123440,123440,3085406,37518636,549121,904888848,2242,6.31791e-12
C++,ex15.mtx,112,6867,6867,98671,1211524,183,2774968,13,7.953e-07
C++,apache2.mtx,4719,715176,715176,4817870,60675148,1933914,2671760416,6986,7.64934e-11
C++,shallow_water1.mtx,402,81920,81920,327680,4259844,3942,27857172,150,2.79699e-16
C++,cfd1.mtx,1639,70656,70656,1825580,22189588,140310,406911040,1025,1.88455e-12
