program,name,import,rows,cols,nonZeros,size,chol,chol_size,sol_time,err
C++,apache2.mtx,6428,715176,715176,4817870,60675148,1619843,2671760416,6859,7.64933e-11
C++,cfd1.mtx,2561,70656,70656,1825580,22189588,117500,406911040,984,1.88251e-12
C++,cfd2.mtx,4375,123440,123440,3085406,37518636,463655,904888848,2203,6.31192e-12
C++,ex15.mtx,156,6867,6867,98671,1211524,156,2774968,15,7.953e-07
C++,G3_circuit.mtx,11890,1585478,1585478,7660826,98271828,780065,2039944908,6234,7.54311e-12
C++,parabolic_fem.mtx,6406,525825,525825,3674625,46198804,70077,435446512,1469,2.35935e-12
C++,shallow_water1.mtx,609,81920,81920,327680,4259844,3343,27857172,124,2.79713e-16
