program,name,import,rows,cols,nonZeros,size,chol,chol_size,sol_time,err
Python,apache2.mtx,5281.25,715176,715176,4817870,60675148,510953.125,2304463756,1406.25,4.5154492128590896e-11
Python,cfd1.mtx,1750.0,70656,70656,1828364,22222996,80906.25,467774008,265.625,1.0231649104184821e-13
Python,cfd2.mtx,2984.375,123440,123440,3087898,37548540,246781.25,921304536,515.625,6.870608998717897e-13
Python,ex15.mtx,93.75,6867,6867,98671,1211524,31.25,3445756,0.0,7.466741825863044e-07
Python,G3_circuit.mtx,8421.875,1585478,1585478,7660826,98271828,544750.0,2556914712,1562.5,3.851552477352971e-12
Python,parabolic_fem.mtx,4562.5,525825,525825,3674625,46198804,32406.25,505652608,312.5,9.519163447485102e-13
Python,shallow_water1.mtx,421.875,81920,81920,327680,4259844,1625.0,39794652,31.25,2.323658696554356e-16
