program,name,import,rows,cols,nonZeros,size,chol,chol_size,sol_time,err
R,apache2.mtx,1291584.74802971,715176,715176,4817870,60676304,93966.5501117706,1639027824,1078.0508518219,1.72180143365503e-11
R,cfd1.mtx,12074.5480060577,70656,70656,1825580,22190744,6795.4421043396,272271128,178.89404296875,1.3026412782843e-13
R,cfd2.mtx,36227.4389266968,123440,123440,3085406,37519792,19026.8948078156,531015000,350.066184997559,1.27750318052995e-12
R,ex15.mtx,152.51898765564,6867,6867,98671,1212680,28.0289649963379,2129256,1.97792053222656,7.29857347675095e-07
R,G3_circuit.mtx,8197500.83398819,1585478,1585478,7660826,98272984,89675.831079483,1754322224,1222.17893600464,1.2908723645494e-12
R,parabolic_fem.mtx,669248.627901077,525825,525825,3674625,46199960,7081.88009262085,335653656,267.592906951904,2.30788953799133e-12
R,shallow_water1.mtx,15161.4351272583,81920,81920,327680,4261000,938.407897949219,27083240,31.3329696655273,2.79058458269633e-16
