program,name,import,rows,cols,nonZeros,size,chol,chol_size,sol_time,err
R,apache2.mtx,1235971.68374062,715176,715176,4817870,60676240,95910.9306335449,1639027704,1044.66485977173,1.72180143365503e-11
R,cfd1.mtx,12376.3892650604,70656,70656,1825580,22190680,6848.24919700623,272271008,164.25347328186,1.3026412782843e-13
R,cfd2.mtx,34891.9985294342,123440,123440,3085406,37519728,19080.0244808197,531014880,319.446325302124,1.27750318052995e-12
R,ex15.mtx,190.584659576416,6867,6867,98671,1212616,20.2016830444336,2129136,1.65915489196777,7.29857347675095e-07
R,G3_circuit.mtx,7685745.23639679,1585478,1585478,7660826,98272920,85316.9596195221,1754322104,1114.00747299194,1.2908723645494e-12
R,parabolic_fem.mtx,608837.189435959,525825,525825,3674625,46199896,7011.27052307129,335653536,242.058753967285,2.30788953799133e-12
R,shallow_water1.mtx,14434.3824386597,81920,81920,327680,4260936,869.112253189087,27083120,22.0837593078613,2.79058458269633e-16
