program,name,import,rows,cols,nonZeros,size,chol,chol_size,sol_time,err
R,apache2.mtx,18770.0735807419,715176,715176,4817870,60676304,1436.7488304774,944.054126739502,1639027824,1.72180143365503e-11
R,cfd1.mtx,10784.6159934998,70656,70656,1825580,22190744,6194.35405731201,156.008958816528,272271128,1.3026412782843e-13
R,cfd2.mtx,31837.8207683563,123440,123440,3085406,37519792,17436.9969367981,302.016973495483,531015000,1.27750318052995e-12
R,ex15.mtx,152.009010314941,6867,6867,98671,1212680,17.0009136199951,2.00009346008301,2129256,7.29857347675095e-07
R,G3_circuit.mtx,1912.91607949469,1585478,1585478,7660826,98272984,1310.60828367869,1588.09089660645,1754322224,1.2908723645494e-12
R,parabolic_fem.mtx,9556.51326576869,525825,525825,3674625,46199960,6461.36999130249,232.012987136841,335653656,2.30788953799133e-12
R,shallow_water1.mtx,14126.8081665039,81920,81920,327680,4261000,863.049030303955,21.0020542144775,27083240,2.79058458269633e-16
