program,names,import,rows,cols,nonZeros,size,chol_info,chol_size,sol_time,err
1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2
Matlab,cfd1.mtx,4296.9604,70656,70656,1825580,30905032,8036.2051,1268173672,552.7853,2.38477129402773e-13
Matlab,cfd2.mtx,7233.9037,123440,123440,3085406,52329064,14534.3589,2498198312,613.4832,6.75564068373912e-13
Matlab,ex15.mtx,252.2827,6867,6867,98671,1743552,270.4232,4186000,1.6904,8.55306761752937e-07
6,6,6,6,6,6,6,6,6,6,6
Matlab,shallow_water1.mtx,943.163,81920,81920,327680,7208968,5394.4952,368859400,77.2365,3.20367311298806e-16
